,sample_ids,labels
0,0,0
1,1,1
2,2,2
3,3,0
4,4,3
5,5,3
6,6,3
7,7,4
8,8,1
9,9,2
10,10,1
11,11,4
12,12,2
13,13,1
14,14,4
15,15,1
16,16,0
17,17,2
18,18,2
19,19,4
20,20,4
21,21,1
22,22,1
23,23,3
24,24,4
25,25,3
26,26,4
27,27,0
28,28,1
29,29,3
30,30,2
31,31,1
32,32,2
33,33,4
34,34,3
35,35,2
36,36,2
37,37,4
38,38,1
39,39,2
40,40,3
41,41,4
42,42,3
43,43,2
44,44,2
45,45,3
46,46,4
47,47,4
48,48,2
49,49,3
50,50,4
51,51,3
52,52,1
53,53,3
54,54,1
55,55,1
56,56,0
57,57,1
58,58,3
59,59,4
60,60,3
61,61,2
62,62,0
63,63,1
64,64,2
65,65,1
66,66,4
67,67,0
68,68,4
69,69,4
70,70,4
71,71,1
72,72,2
73,73,2
74,74,1
75,75,3
76,76,3
77,77,2
78,78,2
79,79,4
80,80,3
81,81,0
82,82,2
83,83,1
84,84,3
85,85,1
86,86,2
87,87,1
88,88,1
89,89,2
90,90,1
91,91,4
92,92,1
93,93,1
94,94,1
95,95,4
96,96,1
97,97,4
98,98,0
99,99,0
100,100,4
101,101,1
102,102,1
103,103,0
104,104,1
105,105,3
106,106,2
107,107,1
108,108,0
109,109,2
110,110,3
111,111,1
112,112,1
113,113,0
114,114,2
115,115,2
116,116,3
117,117,1
118,118,4
119,119,1
120,120,4
121,121,3
122,122,1
123,123,4
124,124,0
125,125,4
126,126,2
127,127,1
128,128,1
129,129,4
130,130,2
131,131,1
132,132,0
133,133,1
134,134,3
135,135,3
136,136,1
137,137,0
138,138,0
139,139,2
140,140,1
141,141,2
142,142,2
143,143,1
144,144,0
145,145,2
146,146,1
147,147,-1
148,148,1
149,149,0
150,150,1
151,151,4
152,152,1
153,153,2
154,154,0
155,155,4
156,156,2
157,157,1
158,158,1
159,159,1
160,160,3
161,161,2
162,162,0
163,163,0
164,164,3
165,165,1
166,166,1
167,167,4
168,168,4
169,169,2
170,170,1
171,171,1
172,172,1
173,173,4
174,174,4
175,175,1
176,176,1
177,177,1
178,178,1
179,179,0
180,180,1
181,181,3
182,182,4
183,183,4
184,184,2
185,185,3
186,186,2
187,187,1
188,188,3
189,189,2
190,190,3
191,191,1
192,192,1
193,193,3
194,194,1
195,195,1
196,196,0
197,197,0
198,198,0
199,199,0
200,200,0
201,201,1
202,202,0
203,203,0
204,204,2
205,205,4
206,206,1
207,207,3
208,208,0
209,209,2
210,210,4
211,211,2
212,212,0
213,213,0
214,214,2
215,215,4
216,216,1
217,217,3
218,218,2
219,219,3
220,220,0
221,221,3
222,222,2
223,223,1
224,224,1
225,225,2
226,226,3
227,227,1
228,228,3
229,229,1
230,230,1
231,231,4
232,232,4
233,233,1
234,234,4
235,235,0
236,236,1
237,237,1
238,238,3
239,239,0
240,240,3
241,241,1
242,242,0
243,243,2
244,244,0
245,245,1
246,246,3
247,247,0
248,248,1
249,249,3
250,250,1
251,251,2
252,252,1
253,253,1
254,254,1
255,255,2
256,256,0
257,257,2
258,258,4
259,259,0
260,260,3
261,261,0
262,262,3
263,263,0
264,264,2
265,265,2
266,266,3
267,267,2
268,268,1
269,269,1
270,270,1
271,271,1
272,272,4
273,273,0
274,274,1
275,275,1
276,276,0
277,277,2
278,278,3
279,279,0
280,280,0
281,281,3
282,282,1
283,283,1
284,284,4
285,285,0
286,286,1
287,287,3
288,288,4
289,289,4
290,290,0
291,291,2
292,292,3
293,293,3
294,294,2
295,295,1
296,296,2
297,297,3
298,298,3
299,299,2
300,300,1
301,301,2
302,302,1
303,303,2
304,304,2
305,305,2
306,306,2
307,307,1
308,308,1
309,309,1
310,310,0
311,311,1
312,312,2
313,313,4
314,314,0
315,315,3
316,316,2
317,317,3
318,318,1
319,319,1
320,320,1
321,321,1
322,322,1
323,323,0
324,324,0
325,325,4
326,326,2
327,327,0
328,328,4
329,329,1
330,330,4
331,331,0
332,332,1
333,333,1
334,334,3
335,335,1
336,336,1
337,337,1
338,338,3
339,339,3
340,340,0
341,341,2
342,342,1
343,343,1
344,344,2
345,345,4
346,346,1
347,347,0
348,348,4
349,349,0
350,350,0
351,351,0
352,352,3
353,353,4
354,354,1
355,355,0
356,356,1
357,357,2
358,358,3
359,359,1
360,360,2
361,361,1
362,362,0
363,363,0
364,364,4
365,365,2
366,366,1
367,367,3
368,368,0
369,369,0
370,370,1
371,371,2
372,372,0
373,373,4
374,374,1
375,375,2
376,376,1
377,377,0
378,378,1
379,379,0
380,380,4
381,381,1
382,382,1
383,383,4
384,384,3
385,385,3
386,386,1
387,387,3
388,388,3
389,389,1
390,390,0
391,391,1
392,392,2
393,393,1
394,394,2
395,395,3
396,396,3
397,397,0
398,398,3
399,399,1
400,400,4
401,401,1
402,402,1
403,403,3
404,404,2
405,405,2
406,406,1
407,407,2
408,408,0
409,409,3
410,410,0
411,411,1
412,412,4
413,413,0
414,414,2
415,415,2
416,416,1
417,417,2
418,418,3
419,419,1
420,420,1
421,421,2
422,422,4
423,423,2
424,424,1
425,425,3
426,426,1
427,427,3
428,428,3
429,429,1
430,430,1
431,431,1
432,432,0
433,433,0
434,434,1
435,435,1
436,436,1
437,437,3
438,438,1
439,439,2
440,440,1
441,441,1
442,442,3
443,443,2
444,444,0
445,445,2
446,446,1
447,447,0
448,448,1
449,449,1
450,450,3
451,451,0
452,452,2
453,453,1
454,454,4
455,455,1
456,456,1
457,457,2
458,458,4
459,459,0
460,460,2
461,461,4
462,462,1
463,463,1
464,464,3
465,465,1
466,466,4
467,467,1
468,468,0
469,469,1
470,470,1
471,471,0
472,472,2
473,473,1
474,474,2
475,475,1
476,476,4
477,477,3
478,478,1
479,479,1
480,480,4
481,481,0
482,482,3
483,483,2
484,484,0
485,485,1
486,486,1
487,487,1
488,488,4
489,489,4
490,490,2
491,491,0
492,492,1
493,493,4
494,494,3
495,495,1
496,496,0
497,497,1
498,498,3
499,499,2
500,500,3
501,501,0
502,502,1
503,503,1
504,504,1
505,505,3
506,506,0
507,507,1
508,508,3
509,509,2
510,510,2
511,511,1
512,512,1
513,513,1
514,514,1
515,515,1
516,516,1
517,517,0
518,518,1
519,519,1
520,520,4
521,521,3
522,522,4
523,523,4
524,524,1
525,525,1
526,526,1
527,527,4
528,528,3
529,529,3
530,530,1
531,531,1
532,532,3
533,533,4
534,534,3
535,535,0
536,536,4
537,537,3
538,538,3
539,539,4
540,540,1
541,541,4
542,542,2
543,543,0
544,544,2
545,545,2
546,546,3
547,547,2
548,548,3
549,549,1
550,550,3
551,551,2
552,552,0
553,553,1
554,554,3
555,555,1
556,556,3
557,557,1
558,558,1
559,559,2
560,560,0
561,561,3
562,562,1
563,563,4
564,564,4
565,565,1
566,566,1
567,567,1
568,568,1
569,569,4
570,570,2
571,571,2
572,572,1
573,573,1
574,574,1
575,575,4
576,576,3
577,577,2
578,578,4
579,579,3
580,580,1
581,581,1
582,582,1
583,583,3
584,584,2
585,585,4
586,586,1
587,587,0
588,588,1
589,589,1
590,590,3
591,591,0
592,592,2
593,593,2
594,594,2
595,595,1
596,596,1
597,597,4
598,598,1
599,599,0
600,600,1
601,601,4
602,602,1
603,603,2
604,604,2
605,605,3
606,606,3
607,607,0
608,608,0
609,609,0
610,610,1
611,611,1
612,612,3
613,613,1
614,614,0
615,615,3
616,616,1
617,617,0
618,618,4
619,619,1
620,620,0
621,621,0
622,622,4
623,623,0
624,624,3
625,625,1
626,626,1
627,627,0
628,628,0
629,629,4
630,630,4
631,631,3
632,632,4
