,sample_ids,labels
0,0,0
1,1,1
2,2,3
3,3,0
4,4,4
5,5,4
6,6,4
7,7,2
8,8,1
9,9,3
10,10,1
11,11,2
12,12,3
13,13,1
14,14,2
15,15,1
16,16,0
17,17,3
18,18,3
19,19,2
20,20,2
21,21,1
22,22,1
23,23,4
24,24,2
25,25,4
26,26,2
27,27,0
28,28,1
29,29,4
30,30,3
31,31,1
32,32,3
33,33,2
34,34,4
35,35,3
36,36,3
37,37,2
38,38,1
39,39,3
40,40,4
41,41,2
42,42,4
43,43,3
44,44,3
45,45,4
46,46,2
47,47,2
48,48,3
49,49,4
50,50,2
51,51,4
52,52,1
53,53,4
54,54,1
55,55,1
56,56,0
57,57,1
58,58,4
59,59,2
60,60,4
61,61,3
62,62,0
63,63,1
64,64,3
65,65,1
66,66,2
67,67,0
68,68,2
69,69,2
70,70,2
71,71,1
72,72,3
73,73,3
74,74,1
75,75,4
76,76,4
77,77,3
78,78,3
79,79,2
80,80,4
81,81,0
82,82,3
83,83,1
84,84,4
85,85,1
86,86,3
87,87,1
88,88,1
89,89,3
90,90,1
91,91,2
92,92,1
93,93,1
94,94,1
95,95,2
96,96,1
97,97,2
98,98,0
99,99,0
100,100,2
101,101,1
102,102,1
103,103,0
104,104,1
105,105,4
106,106,3
107,107,1
108,108,0
109,109,3
110,110,4
111,111,1
112,112,1
113,113,0
114,114,3
115,115,3
116,116,4
117,117,1
118,118,2
119,119,1
120,120,2
121,121,4
122,122,1
123,123,2
124,124,0
125,125,2
126,126,3
127,127,1
128,128,1
129,129,2
130,130,3
131,131,1
132,132,0
133,133,1
134,134,4
135,135,4
136,136,1
137,137,0
138,138,0
139,139,3
140,140,1
141,141,3
142,142,3
143,143,1
144,144,0
145,145,3
146,146,1
147,147,1
148,148,1
149,149,0
150,150,1
151,151,2
152,152,1
153,153,3
154,154,0
155,155,2
156,156,3
157,157,1
158,158,1
159,159,1
160,160,4
161,161,3
162,162,0
163,163,0
164,164,4
165,165,1
166,166,1
167,167,2
168,168,2
169,169,3
170,170,1
171,171,1
172,172,1
173,173,2
174,174,2
175,175,1
176,176,1
177,177,1
178,178,1
179,179,0
180,180,1
181,181,4
182,182,2
183,183,2
184,184,3
185,185,4
186,186,3
187,187,1
188,188,4
189,189,3
190,190,4
191,191,1
192,192,1
193,193,4
194,194,1
195,195,1
196,196,0
197,197,0
198,198,0
199,199,0
200,200,0
201,201,1
202,202,0
203,203,0
204,204,3
205,205,2
206,206,1
207,207,4
208,208,0
209,209,3
210,210,2
211,211,3
212,212,0
213,213,0
214,214,3
215,215,2
216,216,1
217,217,4
218,218,3
219,219,4
220,220,0
221,221,4
222,222,3
223,223,1
224,224,1
225,225,3
226,226,4
227,227,1
228,228,4
229,229,1
230,230,1
231,231,2
232,232,2
233,233,1
234,234,2
235,235,0
236,236,1
237,237,1
238,238,4
239,239,0
240,240,4
241,241,1
242,242,0
243,243,3
244,244,0
245,245,1
246,246,4
247,247,0
248,248,1
249,249,4
250,250,1
251,251,3
252,252,1
253,253,1
254,254,1
255,255,3
256,256,0
257,257,3
258,258,2
259,259,0
260,260,4
261,261,0
262,262,4
263,263,0
264,264,3
265,265,3
266,266,4
267,267,3
268,268,1
269,269,1
270,270,1
271,271,1
272,272,2
273,273,0
274,274,1
275,275,1
276,276,0
277,277,3
278,278,4
279,279,0
280,280,0
281,281,4
282,282,1
283,283,1
284,284,2
285,285,0
286,286,1
287,287,4
288,288,2
289,289,2
290,290,0
291,291,3
292,292,4
293,293,4
294,294,3
295,295,1
296,296,3
297,297,4
298,298,4
299,299,3
300,300,1
301,301,3
302,302,1
303,303,3
304,304,3
305,305,3
306,306,3
307,307,1
308,308,1
309,309,1
310,310,0
311,311,1
312,312,3
313,313,2
314,314,0
315,315,4
316,316,3
317,317,4
318,318,1
319,319,1
320,320,1
321,321,1
322,322,1
323,323,0
324,324,0
325,325,2
326,326,3
327,327,0
328,328,2
329,329,1
330,330,2
331,331,0
332,332,1
333,333,1
334,334,4
335,335,1
336,336,1
337,337,1
338,338,4
339,339,4
340,340,0
341,341,3
342,342,1
343,343,1
344,344,3
345,345,2
346,346,1
347,347,0
348,348,2
349,349,0
350,350,0
351,351,0
352,352,4
353,353,2
354,354,1
355,355,0
356,356,1
357,357,3
358,358,4
359,359,1
360,360,3
361,361,1
362,362,0
363,363,0
364,364,2
365,365,3
366,366,1
367,367,4
368,368,0
369,369,0
370,370,1
371,371,3
372,372,0
373,373,2
374,374,1
375,375,3
376,376,1
377,377,0
378,378,1
379,379,0
380,380,2
381,381,1
382,382,1
383,383,2
384,384,4
385,385,4
386,386,1
387,387,4
388,388,4
389,389,1
390,390,0
391,391,1
392,392,3
393,393,1
394,394,3
395,395,4
396,396,4
397,397,0
398,398,4
399,399,1
400,400,2
401,401,1
402,402,1
403,403,4
404,404,3
405,405,3
406,406,1
407,407,3
408,408,0
409,409,4
410,410,0
411,411,1
412,412,2
413,413,0
414,414,3
415,415,3
416,416,1
417,417,3
418,418,4
419,419,1
420,420,1
421,421,3
422,422,2
423,423,3
424,424,1
425,425,4
426,426,1
427,427,4
428,428,4
429,429,1
430,430,1
431,431,1
432,432,0
433,433,0
434,434,1
435,435,1
436,436,1
437,437,4
438,438,1
439,439,3
440,440,1
441,441,1
442,442,4
443,443,3
444,444,0
445,445,3
446,446,1
447,447,0
448,448,1
449,449,1
450,450,4
451,451,0
452,452,3
453,453,1
454,454,2
455,455,1
456,456,1
457,457,3
458,458,2
459,459,0
460,460,3
461,461,2
462,462,1
463,463,1
464,464,4
465,465,1
466,466,2
467,467,1
468,468,0
469,469,1
470,470,1
471,471,0
472,472,3
473,473,1
474,474,3
475,475,1
476,476,2
477,477,4
478,478,1
479,479,1
480,480,2
481,481,0
482,482,4
483,483,3
484,484,0
485,485,1
486,486,1
487,487,1
488,488,2
489,489,2
490,490,3
491,491,0
492,492,1
493,493,2
494,494,4
495,495,1
496,496,0
497,497,1
498,498,4
499,499,3
500,500,4
501,501,0
502,502,1
503,503,1
504,504,1
505,505,4
506,506,0
507,507,1
508,508,4
509,509,3
510,510,3
511,511,1
512,512,1
513,513,1
514,514,1
515,515,1
516,516,1
517,517,0
518,518,1
519,519,1
520,520,2
521,521,4
522,522,2
523,523,2
524,524,1
525,525,1
526,526,1
527,527,2
528,528,4
529,529,4
530,530,1
531,531,1
532,532,4
533,533,2
534,534,4
535,535,0
536,536,2
537,537,4
538,538,4
539,539,2
540,540,1
541,541,2
542,542,3
543,543,0
544,544,3
545,545,3
546,546,4
547,547,3
548,548,4
549,549,1
550,550,4
551,551,3
552,552,0
553,553,1
554,554,4
555,555,1
556,556,4
557,557,1
558,558,1
559,559,3
560,560,0
561,561,4
562,562,1
563,563,2
564,564,2
565,565,1
566,566,1
567,567,1
568,568,1
569,569,2
570,570,3
571,571,3
572,572,1
573,573,1
574,574,1
575,575,2
576,576,4
577,577,3
578,578,2
579,579,4
580,580,1
581,581,1
582,582,1
583,583,4
584,584,3
585,585,2
586,586,1
587,587,0
588,588,1
589,589,1
590,590,4
591,591,0
592,592,3
593,593,3
594,594,3
595,595,1
596,596,1
597,597,2
598,598,1
599,599,0
600,600,1
601,601,2
602,602,1
603,603,3
604,604,3
605,605,4
606,606,4
607,607,0
608,608,0
609,609,0
610,610,1
611,611,1
612,612,4
613,613,1
614,614,0
615,615,4
616,616,1
617,617,0
618,618,2
619,619,1
620,620,0
621,621,0
622,622,2
623,623,0
624,624,4
625,625,1
626,626,1
627,627,0
628,628,0
629,629,2
630,630,2
631,631,4
632,632,2
