id,title,year,description,genres,rating,num_votes,adult
769,GoodFellas,1990,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.","['Drama', 'Crime']",8.453,14303,True
935505,Female Teacher Punisher: Goddess of Revenge,1990,"In the daytime, an ordinary high school girl's English teacher, but at night, the dynamite body of Super Lady Reiko, who defeats the villains who are infested in the world as an agent of a mysterious organization, explodes.",['Action'],0.0,0,False
935508,Female Teacher Punisher 2: Goddess of Hell,1990,"In the daytime, an ordinary high school girl's English teacher, but at night, the dynamite body of Super Lady Reiko, who defeats the villains who are infested in the world as an agent of a mysterious organization, explodes. A direct sequel to the first iteration.",['Action'],0.0,0,False
242,The Godfather Part III,1990,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.","['Crime', 'Drama', 'Thriller']",7.419,6836,True
114,Pretty Woman,1990,"Vivian is a carefree, streetwise diamond in the rough when she meets sophisticated billionaire Edward in a chance encounter that turns into a week-long business arrangement. But Vivian's energetic spirit challenges Edward's no-nonsense approach to life, and soon they are teaching each other – and falling in love!","['Romance', 'Comedy']",7.448,8966,False
60898,Erotic Ghost Story,1990,"After one thousand years, three vixens transform into humans. They seduce a poor young scholar who soon finds himself in a horrifying situation.","['Fantasy', 'Drama', 'Horror']",6.2,94,True
251,Ghost,1990,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.","['Fantasy', 'Romance', 'Thriller']",7.233,6003,True
162,Edward Scissorhands,1990,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,"['Fantasy', 'Drama', 'Romance']",7.719,13748,False
581,Dances with Wolves,1990,"Wounded Civil War soldier John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.","['Adventure', 'Drama', 'Western']",7.8,4673,False
861,Total Recall,1990,"Construction worker Douglas Quaid's obsession with the planet Mars leads him to visit Rekall, a virtual vacation company that manufactures memories. When something goes wrong during Quaid's memory implant procedure, his life turns upside down, leading him to question what is reality and what isn't.","['Action', 'Adventure', 'Science Fiction']",7.319,6444,False
1700,Misery,1990,"After an accident, acclaimed novelist Paul Sheldon is rescued by a nurse who claims to be his biggest fan.  Her obsession takes a dark turn when she holds him captive in her remote Colorado home and forces him to write back to life the popular literary character he killed off.","['Drama', 'Thriller']",7.747,5212,True
1573,Die Hard 2,1990,"One year after his heroics in Los Angeles, John McClane is an off-duty cop who is the wrong guy in the wrong place at the wrong time. On a snowy Christmas Eve, as he waits for his wife's plane to land at Washington Dulles International Airport, terrorists take over the air traffic control system in a plot to free a South American army general and drug smuggler being flown into the US to face drug charges. It's now up to McClane to take on the terrorists, while coping with an inept airport police chief, an uncooperative anti-terrorist squad, and the life of his wife and everyone else trapped in planes circling overhead.","['Action', 'Thriller']",6.971,6387,True
169,Predator 2,1990,A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.,"['Science Fiction', 'Action', 'Thriller']",6.3,3812,True
53932,The Ages of Lulu,1990,"Fifteen-year-old Lulu has never known any affection from her family. But when she goes to a rock concert with Pablo, a friend of the family, he introduces Lulu to her first sexual experience. Years later, Pablo and Lulu have married; Pablo has created a sheltered, private world for Lulu, into which nothing intrudes. However, Lulu tires of her cloistered existence, and begins hanging out in shady bars, looking for vicarious thrills and danger.",['Drama'],6.38,300,False
9362,Tremors,1990,"Val McKee and Earl Bassett are in a fight for their lives when they discover that their desolate town has been infested with gigantic, man-eating creatures that live below the ground.","['Horror', 'Action', 'Science Fiction', 'Comedy']",6.932,3550,True
28339,Hard to Die,1990,"While doing the inventory for a lingerie outlet in a high rise office building, five attractive women are terrorized by a series of bizarre killings. They suspect that the strange janitor, who witnessed another series of killings years back, is at the bottom of the whole thing. Little do they know the real horror that they face in the end.","['Action', 'Comedy', 'Thriller']",6.074,68,True
196,Back to the Future Part III,1990,"The final installment finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.","['Adventure', 'Comedy', 'Science Fiction']",7.491,11495,False
11186,Child's Play 2,1990,"Chucky is reconstructed by a toy factory to dispel the negative publicity surrounding the doll, and tracks young Andy Barclay to a foster home where the chase begins again.",['Horror'],6.362,2012,True
1669,The Hunt for Red October,1990,"A new technologically-superior Soviet nuclear sub, the Red October, is heading for the U.S. coast under the command of Captain Marko Ramius. The American government thinks Ramius is planning to attack. Lone CIA analyst Jack Ryan has a different idea: he thinks Ramius is planning to defect, but he has only a few hours to find him and prove it - because the entire Russian naval and air commands are trying to find Ramius, too. The hunt is on!","['Action', 'Thriller']",7.4,3613,True
1498,Teenage Mutant Ninja Turtles,1990,"A quartet of humanoid turtles, trained by their mentor in ninjitsu, must learn to work together to face the menace of Shredder and the Foot Clan.","['Science Fiction', 'Action', 'Adventure', 'Comedy', 'Family']",6.713,1955,False
11186,Child's Play 2,1990,"Chucky is reconstructed by a toy factory to dispel the negative publicity surrounding the doll, and tracks young Andy Barclay to a foster home where the chase begins again.",['Horror'],6.362,2012,True
1669,The Hunt for Red October,1990,"A new technologically-superior Soviet nuclear sub, the Red October, is heading for the U.S. coast under the command of Captain Marko Ramius. The American government thinks Ramius is planning to attack. Lone CIA analyst Jack Ryan has a different idea: he thinks Ramius is planning to defect, but he has only a few hours to find him and prove it - because the entire Russian naval and air commands are trying to find Ramius, too. The hunt is on!","['Action', 'Thriller']",7.4,3613,True
1498,Teenage Mutant Ninja Turtles,1990,"A quartet of humanoid turtles, trained by their mentor in ninjitsu, must learn to work together to face the menace of Shredder and the Foot Clan.","['Science Fiction', 'Action', 'Adventure', 'Comedy', 'Family']",6.713,1955,False
1375,Rocky V,1990,"A lifetime of taking shots has ended Rocky’s career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.",['Drama'],5.775,3455,False
483,Wild at Heart,1990,"Young lovers Sailor and Lula hit the road to start a new life together away from the wrath of Lula’s deranged, disapproving mother, who has hired a team of hitmen to cut the lovers’ surreal honeymoon short.","['Crime', 'Thriller', 'Romance']",7.038,1903,True
2119,Days of Thunder,1990,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.","['Adventure', 'Action', 'Drama']",6.349,1685,False
18860,Swordsman,1990,"A kung-fu manual known as the Sacred Scroll is stolen from the Emperor's library. An army detachment is sent to recover it. Meanwhile, a young swordsman and his fellow disciple are accidentally drawn into the chaos.","['Action', 'Adventure']",7.0,90,False
5549,RoboCop 2,1990,"After a successful deployment of the RoboCop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the RoboCop 2 project, a living God.","['Action', 'Crime', 'Science Fiction', 'Thriller']",6.037,2120,True
2291,Jacob's Ladder,1990,"After returning home from the Vietnam War, veteran Jacob Singer struggles to maintain his sanity. Plagued by hallucinations and flashbacks, Singer rapidly falls apart as the world and people around him morph and twist into disturbing images. His girlfriend, Jezzie, and ex-wife, Sarah, try to help, but to little avail. Even Singer's chiropractor friend, Louis, fails to reach him as he descends into madness.","['Drama', 'Mystery', 'Horror']",7.371,1880,True
14864,The Hot Spot,1990,"Upon arriving to a small town, a drifter quickly gets into trouble with the local authorities — and the local women — after he robs a bank.","['Romance', 'Crime', 'Thriller']",6.3,300,True
9558,King of New York,1990,A former drug lord returns from prison determined to wipe out all his competition and distribute the profits of his operations to New York's poor and lower classes in this stylish and ultra violent modern twist on Robin Hood.,"['Thriller', 'Crime']",6.8,774,True
39101,Dragon Ball Z: The Tree of Might,1990,Goku and friends must stop a band of space pirates from consuming fruit from the Tree of Might before it's destructive powers drain Earth's energy.,"['Action', 'Animation', 'Science Fiction', 'TV Movie']",6.544,625,False
1727,Bird on a Wire,1990,"An FBI informant has kept his new identity secret for 15 years. Now an old flame has recognised him, and the bad guys are back for revenge.","['Comedy', 'Romance', 'Adventure']",6.235,1035,False
928,Gremlins 2: The New Batch,1990,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!","['Comedy', 'Horror', 'Fantasy']",6.525,2887,True
18311,Days of Being Wild,1990,"Yuddy, a Hong Kong playboy known for breaking girls' hearts, tries to find solace and truth after discovering the woman who raised him isn't his mother.","['Crime', 'Drama', 'Romance']",7.266,584,True
